Cenário,Pico_Máximo_m,Pico_Mínimo_m,Pico_Médio_m,Desvio_Padrão_m
cenario_01,1.3960,0.0356,0.4249,0.3621
cenario_02,1.6215,0.0362,0.4555,0.3993
cenario_03,1.9260,0.0398,0.5734,0.4880
cenario_04,1.7737,0.0379,0.5172,0.4385
cenario_05,2.1654,0.0418,0.6642,0.5639
cenario_06,2.1775,0.0419,0.6693,0.5682
cenario_07,2.1879,0.0420,0.6750,0.5739
cenario_08,2.0360,0.0407,0.6039,0.5247
cenario_09,2.0981,0.0416,0.6281,0.5459
cenario_10,2.2238,0.0424,0.6857,0.5843
cenario_11,1.4184,0.0334,0.4198,0.3573
